11.6;
60.666666666666664;
75.0;
40.4;
65.36423588885081;
0.0;
1.0647117502456294;
8.266397845091497;
8.266397845091497;
5.037951208671277;
4.316985480212279;
8.0;
4.316985480212279;
0.0;
1.044465935734187;
1.0954451150103321;
0.10274023338281627;
5.5;
9.666666666666666;
108.6;
11.666666666666666;
11.0;
2.8722813232690143;
2.9860788111948193;
5.1000000000000005;
5.0;
3.5;
5.4;
4.0;
5.5;
6.0;
